Horror	In a small island off the American coast, the Whateleys live in an old mill where a mysterious bloody being creates an atmosphere of horror. After her parents get killed by lightning, young Susannah is sent to New York by her aunt Agatha, who wants her to avoid the family curse. Years later Susannah, now married, persuades her husband to spend a holiday in the abandoned mill. Once on the island, Susannah and Mike soon find themselves exposed to the hostility of a gang of thugs led by Ethan, Susannah's brutal cousin...
Western	A train robbery complexed with many different individuals from various levels of society who work together. The problem is that they all are backstabbers and are also prejudiced against their Chinese workers, who are the victims or prejudice. Happy as we may be, the good guys win with this satire of the Old West's prejudices against those who were thought of less than men.
Horror	Pietro and Lucia live on an isolated farm with Alice, Lucia's younger sister. Poor farmers, they live tilling the soil. Pietro is a good worker and a strong man who, unlike his three brothers, is not at war because of a deformed knee. Lucia is a beautiful and reserved woman dedicated to her family. Their life is peaceful and good, in spite of the hard work. One day, while drawing water from the well, Pietro and Alice accidentally free something from Earth's womb. A strange and alien color flashes underwater, at the well's bottom, then disappears. From that moment on, inexplicable events start happening all around the farm, and by night the surrounding vegetation glitters with a sinister glow. The color soon takes hold of the whole farm, and dwelling inside Pietro and his family's minds, it brings them into its sick world of pain, blood and death.
Western	Out-of-work cowboys Kansas Jones and Chito Rafferty are offered jobs at pretty Dusty Willis' ranch after saving her from a beating by saloon owner Clint Burrows. Dusty's good-hearted but weak-willed brother Harry, adding to his $3000 gambling debt to Willis, reluctantly agrees to pay it off by allowing the Ringo Kid, Burrows' vicious hired gun, to rustle cattle from his sister's ranch. Kansas intervenes, deters the rustlers and persuades Harry to confess his involvement to Dusty. Kansas, sent into town by Dusty to pay off Harry's debts, suddenly finds himself on the wrong side of the law, wrongly accused of murder and must rely on Dusty's belief in his innocence for his salvation.
Comedy	Two hearing protection product sales reps have mixed fortunes in the exercise of their trades. They first have to face a female singer who... slams her door at them! Second they try to a influence a man by giving one of his friends'name as a reference whereas the aforementioned friend is... on the spot! As for the third client, he seems to be willing to buy one of their articles until the two salesmen realize that he is... hard of hearing!
Horror	Professor Ayres discovers a secret in an ancient stone and when he opens a crypt, he revives zombies that kill him. He had invited three couples to visit him in his manor to reveal his discovery. However, they never get around to meeting the professor. Out of the blue, the zombies attack them and they seek shelter in the mansion. The creatures put the manor under siege while they protect themselves trying to survive to the horde of zombies.
Horror	Old St. Leopold's Hospital has many urban legends surrounding it, but the residents of Bridgeport all agree on one thing: tortured souls roam its abandoned halls. The mystery proves too much for a pretty young student who decides to investigate for her senior class project. Unfortunately, she does not find ghosts. She, instead, finds Stanley... serial rapist, murderer, and psychopath. As the young girl becomes Stanley's new pet, a team of young investigators descend on the hospital to "hunt some ghosts." Stanley sees nothing but fun and games in his future. But, what Stanley does not know is that the hospital truly is haunted and the restless spirits there are not happy with what he has been doing.
Horror	The Ghost Dimension, follows a new family, The Fleeges - father Ryan (Chris J. Murray), mother Emily (Brit Shaw) and their young daughter Leila (Ivy George) - Who move into a house and discover a video camera and a box of tapes in the garage. When they look through the camera's lens, they begin to see the paranormal activity happening around them - including the re-emergence of young Kristi and Katie.
Drama	In prohibition-era Manhattan, shopkeeper Mary Brown loses Aubrey, her childhood sweetheart, when he marries a rich woman. Reporter Steve "Rollo" Porter has lost -his- childhood sweetheart, Elaine, who has also married another. Mary and Steve become friends, and make a marriage of convenience, based on a shared sense of whimsical humor as well as their mutual losses. When their old loves re-enter their lives a few years later, Mary and Steve must decide what is really important to them.
Documentary	Documentarian Sam Green interprets our collective fascination with the Guinness Book of World Records as a profound need to try and make some sense of who we are by calibrating human experience and marveling at its outer contours. Green himself travels to various reaches of the Earth to collect original footage of record-holding people, places, and things-the tallest man, the woman with the longest name, the oldest living thing on the planet. He weaves into these original portraits a rich assembly of archival footage, his own live narration, and an evocative live soundtrack from the chamber group yMusic to create an indelible rumination on fate, human endeavor, and the nature of our existence on Earth.
Comedy	Abboud young tumultuous with two of his friends, living for frail life, lead Mchagbath to cause problems with his family, knows that the army will not enter because the only father was assistant officer in Aljeicn Mam works Mchagbath, married father of another woman beget including a child, it becomes a Abboud to enlist , although it is a decent, working on the border with colleagues themselves, and there are exposed to a range of adventures where recognize gang cultivation of marijuana on the Friends of the four recruits, and trying to recruit them, but Aboud begins to learn responsibility, and work with his colleagues, and the men of the unit in rhythm gang drug trafficking, and become someone else and reported the gang.
Drama	The action takes place in an isolated village in the mountain, a place plagued by superstitions .Catherine ,also known as "L'Airelle" (blueberry),loves a young physician.Catherine's father is the local bone-setter.His wife , overwhelmed with love despair , threw herself in a glacier ,and her body reappears twenty years later ,intact.Otherwise,the chemist of the village is accused of seducing a young girl who avenges her mother.
Horror	Three married couples are forced to spend the night in a Victorian-era house where they start getting killed off by a deranged psycho who's bent on claiming an inheritance they are all entitled to.
Drama	Hans Castorp, fresh from university and about to become a civil engineer, comes to the Sanatorium Berghof in the Swiss Alps to visit his cousin Joachim, an army officer, who is recovering there from tuberculosis. Intending to remain at the Berghof for three weeks, Hans is gradually contaminated by the morbid atmosphere pervading the place. Wishing very much to be considered a patient like the others, he achieves his ends and stays in the sanatorium for ...seven years. During this time, he has enough time to take part in the furious philosophical debates pitting against each other Settembrini, a secular humanist, and Naphta, a totalitarian Jesuit. And to fall in love with the beautiful but enigmatic Clawdia Chauchat. When he is finally discharged in 1914 - along with all the other patients - it is only to plunge into the horrors of World War I.
Documentary	Takuya is 18, with tousled hair and an athletic look. Driven by his father and sponsors, he leaves his hometown in Hokkaido to go to Tokyo and joins a sumo stable. There, he will share everything with the 10 other wrestlers: day-to-day life, training, social life and tournaments. The first 9 months of Takuya's initiation, telling about the dreams and disenchantment of a teenager who is discovering the reality of the traditional world of sumo.
Comedy	Otto (Otto Walkes) tells his life story to a stranger he meets in Central Park: he has been a foundling and always dreamed about becoming a sailor on the "Queen Henry", because his adoptive grandfather (Otto Walkes) suggested he has been captain there. When Otto finally gets aboard some catastrophes lie ahead..
Drama	Cynthia, new lady of Chatterly, feels neglected by her husband. During his absences she tries to amuse herself with gardener Thomas, but always gets interrupted by new visitors. While she's busy her staff amuses itself. One of her guests is a professor who wants to do research in her land-seat. He's quite repressed, but she knows how to lighten him up.
Horror	A group of archeological students head out into the desert on a dig for Indian artifacts, a practice which is forbidden both by their college faculty and the locals. Ignoring the warnings of a old Native American man, the group arrive at their destination and begin digging. Unbeknownst to them, their presence has angered an evil spirit, who will not allow the artifacts to ever leave the land.
Western	Sunset returns to find the Carson-Sterling feud still going. Sterling has been killed and it's not long before Andrew Carson is murdered. To end the feud Sunset challenges Martin Sterling to a shootout. Unknown to Sunset, Martin's sister Melinda has waylaid her brother and now appears for the shootout disguised in her brother's clothes.
Comedy	An ordinary clerk desides to spend a few days vacationing in a hotel, but when he goes there, his life takes an unexpected turn. Everyone mistakes him for a famous poet, one known for his success with women. Soon, every girl in the area gets close to him, but what happens when the real poet arrives at the same hotel?
Horror	This classic Japanese horror movie directed by Nobuo Nakagawa is based on an 18th-century masterpiece written by Nanboku Tsuruya. It is about a woman who haunts her husband after she dies a miserable death. The story has terrified the Japanese people for ages.
Documentary	In Jandamarra's War, we learn how in the 1890's the European colonialists arrive in the Kimberley with vast herds of sheep and cattle, determined to make their fortune by feeding a rapidly growing population in the South. But the settlers soon discover they are in land populated with indigenous tribes, ready to fight the red-faced invaders. Jandamarra is born into this turmoil in 1873. His spirit country, on his father's side, is a land called Djumbud. His mother Jinny, a powerful and independent woman, belongs to the Lennard River flat lands. At the age of six, Jinny takes Jandamarra onto William Lukin's million-acre cattle station at Lennard River Flats. Jandamarra quickly excels in all pastoral skills - much to the pride of Lukin who, like other settlers, boasts about his stockmen's abilities as tribute to his own skills of tutelage and management. Jandamarra remains at Lennard River Flats until it is time for him to be initiated into Bunuba law. His uncle Ellemarra is a very powerful influence during this period of intense education and rapid personal growth. But Jandamarra's passage into manhood is interrupted when they are both arrested and jailed for spearing a sheep. When he is released from custody, Jandamarra is banished from Bunuba society because sexual relationships he has had with various women, have broken strict kinship rules. With nowhere else to go, Jandamarra is assimilated into settler culture and ends up working with Constable Richardson who is, himself, an outsider in his own community. Their relationship is a strange one and oddly close - until that fateful night when Jandamarra kills Richardson, and returns to his people. Now fugitives, Jandamarra, Ellemarra and others attack a party of stockmen who are driving a large herd of cattle into the heart of Bunuba land. Two of the white men, Burke and Gibbs, are killed. This is the first time that guns are used by Aboriginals against European settlers in an organised fashion. Across Western Australia, enraged white colonialists bay for vengeance. A posse of 30 heavily armed police and settlers attack Jandamarra, Ellemarra and their followers at Windjana Gorge. In the ensuing battle, Ellemarra is killed and Jandamarra is seriously wounded, but escapes through a labyrinth of caves. Jandamarra recovers and leads a guerilla war against the settlers from hideouts in the caves and surrounding ranges of Windjana Gorge and Tunnel Creek. But the rebellion comes at a very high price as police and station owners embark on a military-style operation against Aboriginal camps throughout the region. Many Aboriginal people are killed in the massacres that ensue. Jandamarra responds by modifying his tactics. He doesn't kill any more settlers but embarks on a three year terror campaign - killing stock and stealing provisions from under the settlers' noses at night - deliberately leaving behind footmarks and other traces that tell the settlers that he's been there and could have killed them very easily, if he had wanted to. The police try to pursue Jandamarra after his raids but he always seems to find a way to elude capture.
Drama	September 1945. The village school was burned down in a fire and the new communist authorities get into the church, hanging the flag of the Communist Party and overpaint frescoes. But, frescoes each time miraculously returned.
Western	Roy is a United States Marshal tracking down a counterfeiting ring and hunting down a mountain lion. Songs: "It's One Wonderful Day," "Rootin' Tootin' Cowboy," "Pancho's Rancho" and the title song.
Horror	Lester Parson is a lonely gigolo who dates and kills off middle-aged women in ultra-gory fashion just for the pleasure of watching them die, as well as to take their money and jewelery as well as cook and eat their remains for his dinner.
Horror	Rebecca has inherited her grandmother's Gothic mansion and brings both her best friend an her boyfriend for a weekend. While exploring the crypts they discover an old dusty book, which describes the life of a vampire. As the story unfolds, it becomes apparent that the vampire was Rebecca's great grandfather, Rico. Later that night Rebecca finds herself in a trance, reciting an occult ritual described in the book resulting in the opening of the coffin and the new life for Rico. The Angel of the Night is back.
Comedy	Two men, who both have tried to commit a suicide, decide to found a "Let's do it together"-suicide association to help the self-destructive people to succeed in their goal. Soon they have a bus load of candidates and together they start a bus tour in order to find a suitable place for the mass suicide. The trip takes them from Finland via Norway to the Central Europe. And finally on the verge - is life worth dying for?
Horror	A family of 4 makes a long drive to Aunt Martha's house to visit her for the first time in years. Only she isn't there. Just the caretaker and his message that she will appear the next day...if they survive the night.
Drama	Max Baumstein is a reputable businessman, a rich self-made man with a conscience - he founded a highly visible and active international organization fighting against violations of human rights. Why would he commit an act that apparently negates the principles he has striven for so long to uphold? Eventually, he reveals a secret about himself that he kept hidden from his younger wife Lina, and that in a roundabout way concerns her as well. It is the conclusion of a struggle that started many decades earlier, when Elsa Wiener, a German singer exiled in Paris, without money or relations, a refugee among many others, faced two daunting problems: surviving in a foreign city, and saving her husband Michel from the clutches of the Nazis.
Horror	In 1974, Oxford professor Joseph Coupland invites introspective lad Brian McNeil to film his experimental treatment of subject Jane Harper, aided by student assistants Krissi Dalton and Harry Abrams. Jane, a young woman with no memory of the past and repeatedly abandoned by foster families, believes herself possessed by a doll named Evey that gives her telekinetic power. Keeping her awake in an isolated house, Prof. Coupland intends that she puts her evil energy into an actual doll, thereafter destroying it to heal Jane. Amidst strange things happening in the house, Brian feels sorry for Jane and, researching her tattoo, learns an evil secret about Jane's past, and of Prof. Coupland's motivation.
Horror	A young Soldier is killed in the line of duty in Vietnam. That same night, the soldier returns home, brought back by his Mother's wishes that he "Don't Die"! Upon his Return, Andy sits in his room, refusing to see his friends or family, venturing out only at night. The Vampiric horror is secondary to the terror that comes from the disintegration of a typical American family.
