PG-13	When young Max and his family have a argument on Christmas he unknowingly summons a Christmas demon called Krampus who is the opposite of Santa and does come to spread joy he comes to punish the non-believers and now max and his family have to fight back against Krampus or Krampus will make them believe
PG-13	Dr Calgary returns home from an expedition and goes looking for a hitchhiker whom he gave a lift to two years previously in order to return the man's address book. He discovers the man has been executed for his mother's murder.
R	After their mother leaves to Ireland to meet her true love whom she had waited for 35 years to meet, Jack, Barry and Patrick finds their own. Jack, happily married to Molly, is having an affair with Ann. Barry, a screenwriter, does not believe in true love, and does not want to settle. Patrick, who is a faithful Catholic, is engaged to Susan, but is having doubts. Jack, Barry, and Patrick are trying to give advises to each other. When Jack meets the beautiful Audrey...
PG	A man who is having an affair with a married woman is dropped off on the wrong street when going back to his hotel. He takes refuge out of the rain when an old man invites him in. He turns out to be a mortician, who tells him the stories of the people who have wound up in his establishment over the course of four stories.
PG-13	At the beginning of World War Two a Hungarian Jew living in British Palestine volunteers to parachute behind enemy lines in German-occupied Yugoslavia to save fellow Jews from deportation to Nazi Death Camps. After she enlisted in the British Army she trained in Egypt as a paratrooper for the British Special Operations Executive. In the Spring of 1944 Hannah and a few colleagues were parachuted into Yugoslavia and joined a partisan group. Despite warnings against venturing into German-occupied Hungary Hannah insisted that she continue her mission. Arrested at the Hungarian border Hannah and her companions are sent to a special prison where she is interrogated under torture. However, Hannah refuses to reveal little more than her name.
R	'Jackie-O' is anxiously awaiting the visit of her brother home for Thanksgiving, but isn't expecting him to bring a friend. She's even more shocked to learn that this friend is his fiancée. It soon becomes clear that 'Jackie-O's obsession is nothing compared to her obsession with her brother, as it also becomes clear she isn't the only member of the family with problems...
PG	Jackie Chan is a boy who is used as a janitor at his kung-fu school. Jackie Chan can't fight and is always getting bullied by the teachers and pupils. One day an old man helps Jackie train in an art of kung-fu called the ' Snake's Fist '. Jackie doesn't get bullied again. Then Jacki creates his own style and mixes it with the Snake's Fist. His style is based on the movement and actions of a cat. One day the old man is in trouble by a man who does ' The Eagle's Claw' and Jackie helps the old man.
PG	Tired of the slave-like treatment of his team's owner, charismatic star Negro League pitcher Bingo Long takes to the road with his band of barnstormers through the small towns of the Midwest in the 1930's.
PG-13	Black or White is the story of a grandfather (Kevin Costner) who is suddenly left to care for his beloved granddaughter. When her paternal grandmother (Octavia Spencer) seeks custody with the help of her brother (Anthony Mackie), the little girl is torn between two families who love her deeply. With the best intentions at heart, both families fight for what they feel is right and are soon forced to confront their true feelings about race, forgiveness, and understanding. Anchored by an all-star cast and based on real events, the movie is a look at two seemingly different worlds, in which nothing is as simple as black or white.
R	A corporate raider threatens a hostile take-over of a "mom and pop" company. The patriarch of the company enlists the help of his wife's daughter, who is a lawyer, to try and protect the company. The raider is enamoured of her, and enjoys the thrust and parry of legal manoeuvring as he tries to win her heart.
